,Date,ID,Name,Abs_magnitude,Min_diameter,Max_diameter,Potential_hazard,Close_approach_date,Relative_velocity,Miss_distance,Orbiting_body,Sentry_object
64,2023-01-02,54336910,(2022 YP5),27.13,0.0099667824,0.022286403,False,2023-01-02,4.7934005225,0.019976017,Earth,False
65,2023-01-02,54337577,(2022 YY6),26.15,0.0156514644,0.0349977383,False,2023-01-02,20.2695510903,0.0054388636,Earth,False
66,2023-01-02,54339176,(2023 AL2),25.94,0.0172407032,0.0385513844,False,2023-01-02,13.1398792319,0.011284032,Earth,False
67,2023-01-03,2494690,494690 (2004 JQ1),20.1,0.2538370294,0.5675968529,True,2023-01-03,33.9865451876,0.4921215439,Earth,False
68,2023-01-03,3407681,(2008 FX6),25.0,0.02658,0.0594346868,False,2023-01-03,13.1978675976,0.3563147331,Earth,False
69,2023-01-03,3589135,(2011 WR41),25.12,0.0251509837,0.0562393094,False,2023-01-03,8.9488279298,0.0405377113,Earth,False
70,2023-01-03,3596212,(2012 BE27),23.3,0.058150704,0.130028927,False,2023-01-03,10.3186487891,0.0143520164,Earth,False
71,2023-01-03,3596264,(2012 BA35),23.75,0.0472666667,0.1056914799,False,2023-01-03,17.8630971117,0.4950273697,Earth,False
72,2023-01-03,3703436,(2015 AO43),26.5,0.0133215567,0.0297879063,False,2023-01-03,8.461151944,0.0826054551,Earth,False
73,2023-01-03,54248559,(2022 DA3),27.85,0.0071540995,0.0159970528,False,2023-01-03,7.7168635102,0.3781861033,Earth,True
74,2023-01-03,54336641,(2022 YJ4),26.97,0.0107288945,0.0239905375,False,2023-01-03,5.578830013,0.0135605481,Earth,False
75,2023-01-03,54338282,(2022 YN7),20.55,0.2063264836,0.4613600429,False,2023-01-03,17.2444203571,0.1828833519,Earth,False
76,2023-01-03,54338711,(2023 AU),27.02,0.0104846751,0.0234444462,False,2023-01-03,7.5642539953,0.024422027,Earth,False
77,2023-01-03,54471057,(2024 RN15),25.38,0.0223128464,0.0498930414,False,2023-01-03,15.2174038626,0.2736708787,Earth,False
78,2023-01-03,54497055,(2024 VD),26.402,0.0139365404,0.0311630516,False,2023-01-03,9.6162182067,0.3993434504,Earth,False
79,2023-01-06,3102774,(2002 AJ69),21.3,0.1460679643,0.3266178974,False,2023-01-06,15.1891078063,0.4324902517,Earth,False
80,2023-01-06,3550089,(2010 UY7),28.5,0.0053034072,0.0118587791,False,2023-01-06,18.889281405,0.4730124054,Earth,True
81,2023-01-06,3723829,(2015 MQ116),23.5,0.0530340723,0.1185877909,False,2023-01-06,7.7790740619,0.1595412772,Earth,False
82,2023-01-06,3825180,(2018 LM4),18.72,0.4792421155,1.071617948,False,2023-01-06,18.944585947,0.3857126394,Earth,False
83,2023-01-06,3986832,(2020 BT2),23.67,0.0490405098,0.1096579137,False,2023-01-06,23.6709010819,0.4275038553,Earth,False
84,2023-01-06,3989408,(2020 CN),27.4,0.0088014652,0.0196806745,False,2023-01-06,29.4522399124,0.4958286582,Earth,False
85,2023-01-06,54013568,(2020 EO),25.9,0.0175612318,0.0392681082,False,2023-01-06,8.1534921255,0.1716050369,Earth,False
86,2023-01-06,54104844,(2021 AM2),27.18,0.0097399107,0.0217791025,False,2023-01-06,14.8869136238,0.4519251559,Earth,False
87,2023-01-06,54281887,(2022 LF),23.13,0.0628861456,0.1406176963,False,2023-01-06,3.7613921011,0.125173178,Earth,False
88,2023-01-06,54335460,(2022 YN1),24.26,0.0373727432,0.0835679943,False,2023-01-06,5.5134545542,0.0469726207,Earth,False
89,2023-01-06,54336613,(2022 YC3),22.87,0.0708851033,0.1585039096,False,2023-01-06,10.7374309773,0.2023629981,Earth,False
90,2023-01-06,54336956,(2022 YV5),25.27,0.0234722638,0.0524855773,False,2023-01-06,10.6450162485,0.0535660289,Earth,False
91,2023-01-06,54337423,(2022 YQ6),24.72,0.0302381333,0.0676145215,False,2023-01-06,4.9721167165,0.0849773609,Earth,False
92,2023-01-06,54338672,(2023 AL),25.6,0.0201629919,0.0450858206,False,2023-01-06,6.1346696725,0.0690863139,Earth,False
93,2023-01-06,54338975,(2023 AV1),26.76,0.0118182991,0.0264265201,False,2023-01-06,7.3889445607,0.0132336361,Earth,False
94,2023-01-06,54375412,(2023 OM),25.58,0.0203495578,0.0455029946,False,2023-01-06,9.6694826798,0.2665119971,Earth,False
95,2023-01-06,54417172,(2023 XO15),25.82,0.0182202771,0.0407417781,False,2023-01-06,8.7234003254,0.1856366166,Earth,False
96,2023-01-07,2344133,344133 (2000 AD6),18.66,0.4926687055,1.1016407159,False,2023-01-07,16.1875621891,0.3209883726,Earth,False
97,2023-01-07,2369454,369454 (2010 NZ1),19.09,0.4041615334,0.9037326626,False,2023-01-07,30.1177408258,0.4493353966,Earth,False
